id,category,name,calories,moisture,amino_acid_composition_protein,protein,triacylglycerol,cholesterol,fat,available_carbohydrates,carbohydrates,sodium,potassium,calcium,magnesium,phosphorus,iron,zinc,copper,manganese,iodine,selenium,chromium,molybdenum,vitaminA,vitaminD,vitaminE,vitaminK,vitaminB1,vitaminB2,vitaminB3,vitaminB6,vitaminB12,vitaminB9,vitaminB5,vitaminB7,vitaminC
1,4,あずき,304.0,14.2,17.8,20.8,0.8,0.0,2.0,37.7,59.6,1.0,1300.0,70.0,130.0,350.0,5.5,2.4,0.68,1.09,0.0,1.0,2.0,210.0,1.0,0.0,0.1,8.0,0.46,0.16,2.2,0.4,0.0,130.0,1.02,9.6,2.0
2,4,いんげんまめ,280.0,15.3,17.7,22.1,1.5,0.0,2.5,42.3,56.4,0.0,1400.0,140.0,150.0,370.0,5.9,2.5,0.77,1.93,0.0,1.0,3.0,110.0,0.0,0.0,0.1,8.0,0.64,0.16,2.0,0.37,0.0,87.0,0.65,9.5,0.0
3,4,青えんどう,310.0,13.4,17.8,21.7,1.5,0.0,2.3,47.8,60.4,1.0,870.0,65.0,120.0,360.0,5.0,4.1,0.49,0.0,1.0,11.0,2.0,280.0,8.0,0.0,0.1,16.0,0.72,0.15,2.5,0.29,0.0,24.0,1.74,16.0,0.0
4,4,赤えんどう,310.0,13.4,17.8,21.7,1.5,0.0,2.3,47.8,60.4,1.0,870.0,65.0,120.0,360.0,5.0,4.1,0.49,0.0,1.0,11.0,2.0,280.0,1.0,0.0,0.1,16.0,0.72,0.15,2.5,0.29,0.0,24.0,1.74,16.0,0.0
5,4,ささげ,280.0,15.5,19.6,23.9,1.3,0.0,2.0,41.5,55.0,1.0,1400.0,75.0,170.0,400.0,5.6,4.9,0.71,0.0,0.0,6.0,6.0,380.0,2.0,0.0,0.0,14.0,0.5,0.1,2.5,0.24,0.0,300.0,1.3,11.0,0.0
6,4,そらまめ,323.0,13.3,20.5,26.0,1.3,0.0,2.0,52.8,55.9,1.0,1100.0,100.0,120.0,440.0,5.7,4.6,1.2,0.0,0.0,3.0,1.0,260.0,0.0,0.0,0.7,13.0,0.5,0.2,2.5,0.41,0.0,260.0,0.48,13.0,0.0
7,4,だいず　青大豆,354.0,12.5,31.4,33.5,16.9,0.0,19.3,12.9,30.1,3.0,1700.0,160.0,200.0,600.0,6.5,3.9,0.96,2.11,0.0,9.0,1.0,450.0,1.0,0.0,2.3,36.0,0.74,0.24,2.4,0.55,0.0,260.0,0.83,24.0,2.0
8,4,木綿豆腐,73.0,85.9,6.7,7.0,4.5,0.0,4.9,0.9,1.5,9.0,110.0,93.0,57.0,88.0,1.5,0.6,0.16,0.41,6.0,4.0,4.0,44.0,0.0,0.0,0.2,6.0,0.09,0.04,0.2,0.05,0.0,12.0,0.02,4.1,0.0
9,4,絹ごし豆腐,56.0,88.5,5.3,5.3,3.2,0.0,3.5,1.1,2.0,11.0,150.0,75.0,50.0,68.0,1.2,0.5,0.16,0.34,1.0,1.0,1.0,69.0,0.0,0.0,0.1,9.0,0.11,0.04,0.2,0.06,0.0,12.0,0.09,3.5,0.0
10,4,ソフト豆腐,56.0,88.9,5.0,5.1,3.0,0.0,3.3,1.9,2.0,7.0,150.0,91.0,32.0,82.0,0.7,0.5,0.16,0.33,0.0,0.0,0.0,0.0,0.0,0.0,0.1,10.0,0.07,0.03,0.1,0.07,0.0,10.0,0.1,0.0,0.0
11,4,充てん豆腐,56.0,88.6,5.1,5.0,2.8,0.0,3.1,2.4,2.5,10.0,200.0,31.0,68.0,83.0,0.8,0.6,0.18,0.43,0.0,0.0,0.0,0.0,0.0,0.0,0.3,11.0,0.15,0.05,0.3,0.09,0.0,23.0,0.12,0.0,0.0
12,4,沖縄豆腐,99.0,81.8,8.8,9.1,6.6,0.0,7.2,1.1,0.7,170.0,180.0,120.0,66.0,130.0,1.7,1.0,0.19,0.93,0.0,0.0,0.0,0.0,0.0,0.0,0.4,16.0,0.1,0.04,0.2,0.06,0.0,14.0,0.0,0.0,0.0
13,4,ゆし豆腐,47.0,90.0,4.1,4.3,2.6,0.0,2.8,1.8,1.7,240.0,210.0,36.0,43.0,71.0,0.7,0.5,0.14,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.1,9.0,0.1,0.04,0.2,0.07,0.0,13.0,0.2,0.0,0.0
14,4,焼き豆腐,82.0,84.8,7.8,7.8,5.2,0.0,5.7,1.0,1.0,4.0,90.0,150.0,37.0,110.0,1.6,0.8,0.16,0.6,0.0,0.0,0.0,0.0,0.0,0.0,0.2,14.0,0.07,0.03,0.1,0.05,0.0,12.0,0.06,0.0,0.0
15,4,油揚げ,377.0,39.9,23.0,23.4,31.2,0.0,34.4,2.8,0.4,4.0,86.0,310.0,150.0,350.0,3.2,2.5,0.22,1.55,1.0,8.0,5.0,97.0,0.0,0.0,1.3,67.0,0.06,0.04,0.2,0.07,0.0,18.0,0.07,7.1,0.0
16,4,おから,88.0,75.5,5.4,6.1,3.4,0.0,3.6,3.2,13.8,5.0,350.0,81.0,40.0,99.0,1.3,0.6,0.14,0.4,1.0,1.0,1.0,45.0,0.0,0.0,0.4,8.0,0.11,0.03,0.2,0.06,0.0,14.0,0.31,4.1,0.0
17,4,豆乳,43.0,90.8,3.4,3.6,2.6,0.0,2.8,1.6,2.3,2.0,190.0,15.0,25.0,49.0,1.2,0.3,0.12,0.23,0.0,1.0,0.0,54.0,0.0,0.0,0.1,4.0,0.03,0.02,0.5,0.06,0.0,28.0,0.28,3.8,0.0
18,4,湯葉,218.0,59.1,21.4,21.8,12.3,0.0,13.7,5.1,4.1,4.0,290.0,90.0,80.0,250.0,3.6,2.2,0.7,0.0,1.0,3.0,1.0,100.0,1.0,0.0,0.9,22.0,0.17,0.09,0.3,0.13,0.0,25.0,0.34,14.0,0.0
19,4,つるあずき,297.0,12.0,17.8,20.8,1.0,0.0,1.6,43.3,61.8,1.0,1400.0,280.0,230.0,320.0,11.0,3.1,0.73,2.92,0.0,3.0,4.0,220.0,2.0,0.0,0.1,50.0,0.5,0.13,2.0,0.28,0.0,210.0,0.75,9.7,3.0
20,4,ひよこまめ,336.0,10.4,16.7,20.0,4.3,0.0,5.2,49.4,61.5,17.0,1200.0,100.0,140.0,270.0,2.6,3.2,0.84,0.0,1.0,11.0,1.0,150.0,2.0,0.0,2.5,9.0,0.37,0.15,1.5,0.64,0.0,350.0,1.77,21.0,0.0
